ID	ComplexCtxs	ContraFlag	Veridical	Antiveridical	Averidical	Equals	Superclass	Subclass	Disjoint	TargetLabel
2001a	0	0	1	0	0	1	0	0	0	B
2001b	0	0	1	0	0	1	0	0	0	B
2019a	1	0	1	0	0	1	0	0	0	B
2058a	1	0	1	0	0	0	0	1	0	DL
2089a	1	0	1	0	0	1	0	0	0	DL
2089b	1	0	1	0	0	1	0	0	0	DL
2096a	1	0	1	0	0	1	0	0	0	B
2130a	1	0	1	0	0	1	0	0	0	B
2157a	0	0	1	0	0	1	0	0	0	B
2166a	0	0	1	0	0	1	0	1	0	B
2166b	1	0	1	0	0	1	0	0	0	B
2221a	1	0	1	0	0	0	1	0	0	B
2221b	1	0	1	0	0	0	0	1	0	DL
2229a	0	0	1	0	0	1	1	0	0	DL
2231a	0	0	1	0	0	1	1	0	0	B
2231b	0	0	1	0	0	1	0	1	0	N
2284a	0	0	1	0	0	1	0	0	0	B
2286a	0	0	1	0	0	1	0	0	0	B
2362a	1	0	1	0	0	0	0	1	0	B
2364a	0	0	1	0	0	1	0	1	0	B
2366a	0	0	1	0	0	1	1	1	0	B
2385a	0	0	1	0	0	1	1	0	0	B
2392a	1	0	1	1	0	1	0	0	0	B
2392b	1	0	1	1	0	1	0	0	0	B
2402a	1	0	1	0	0	1	0	0	0	B
2404a	0	0	1	1	0	1	0	1	0	B
2404b	1	0	1	1	0	1	1	0	0	B
2405a	0	0	1	0	0	1	0	1	0	B
2410a	1	0	1	0	0	0	0	0	1	B
2430a	0	0	1	0	0	1	0	0	0	B
2476a	0	0	1	0	0	1	0	1	0	B
2476b	0	0	1	0	0	1	0	0	0	B
2485a	0	0	1	0	0	1	0	0	0	B
2525a	1	0	1	0	0	1	0	0	0	B
2527a	1	0	1	0	0	1	0	0	0	B
2535a	0	0	1	1	0	1	0	0	0	DL
2544a	1	0	1	1	0	1	1	0	0	DL
2557a	1	0	1	0	0	1	0	0	0	DL
2557b	1	0	1	0	0	1	0	0	0	DL
2566a	0	0	1	1	0	1	0	0	0	DL
2662a	1	0	1	0	0	1	0	0	0	B
2668a	0	0	1	1	0	1	1	0	0	B
2678a	0	0	1	0	0	1	0	0	0	B
2679a	1	0	1	0	0	1	0	1	0	N
2687a	1	0	1	1	0	1	0	0	0	B
2687b	1	0	1	1	0	1	0	0	0	B
2704a	0	0	1	0	0	1	0	0	0	B
2704b	0	0	1	0	0	1	0	0	0	B
2712a	1	0	1	1	0	1	0	0	0	B
2712b	1	0	1	1	0	1	0	0	0	B
2720a	1	0	1	1	0	1	0	0	0	B
2720b	1	0	1	1	0	1	0	0	0	DL
2721a	0	0	1	0	0	1	0	0	0	B
2722a	0	0	1	0	0	1	0	0	0	B
2722b	0	0	1	0	0	1	0	0	0	B
2726a	0	0	1	0	0	1	0	0	0	B
2738a	0	0	1	1	0	1	0	0	1	B
2772a	0	0	1	0	0	1	0	0	0	B
2772b	0	0	1	0	0	1	0	0	0	B
2791a	0	0	1	0	0	1	0	0	0	B
2791b	0	0	1	0	0	1	0	0	0	B
2795a	0	0	1	0	0	1	0	0	0	B
2812a	0	0	1	0	0	1	0	1	0	B
2822a	0	0	1	0	0	1	1	0	0	B
2829a	0	0	1	0	0	1	0	1	0	B
2842a	1	0	1	0	0	1	0	0	0	B
2886a	1	0	1	1	0	1	0	0	0	B
2886b	1	0	1	1	0	1	0	0	0	B
2898a	0	0	1	0	0	1	0	1	0	B
2911a	1	0	1	1	0	1	0	0	0	B
2911b	1	0	1	0	0	1	0	0	0	B
2932a	0	0	1	0	0	1	1	0	0	B
2936a	1	0	1	0	0	1	0	0	0	DL
2967a	0	0	1	0	0	1	0	0	0	DL
2967b	0	0	1	0	0	1	0	0	0	B
2968a	0	0	1	0	0	1	0	0	1	N
2968b	0	0	1	0	0	1	0	0	1	B
2996a	1	0	1	0	0	1	0	0	0	B
2996b	1	0	1	0	0	1	0	0	0	DL
3002a	1	0	1	0	0	0	0	0	1	B
3036a	1	0	1	1	0	1	0	0	0	B
3036b	1	0	1	1	0	1	0	0	0	B
3061a	0	0	1	1	0	1	0	0	0	B
3061b	0	0	0	0	0	0	0	0	0	DL
3122a	0	0	1	0	0	1	0	1	0	B
3123a	1	0	1	0	0	1	0	0	0	B
3123b	1	0	1	1	0	1	0	0	0	B
3174a	1	0	1	0	0	0	1	0	0	B
3181a	1	0	1	0	0	1	0	0	0	DL
3222a	0	0	1	1	0	1	0	0	0	B
3222b	1	0	1	1	0	1	0	0	0	B
3250a	0	0	1	0	0	1	0	0	0	B
3250b	0	0	1	0	0	1	0	0	0	B
3275a	0	0	1	0	0	1	0	0	0	B
3275b	0	0	1	0	0	1	0	0	0	B
3291a	1	0	1	0	0	1	0	0	0	B
3292a	0	0	0	0	0	0	0	0	0	B
3322a	0	0	1	0	0	1	0	0	0	B
3338a	0	0	0	0	0	0	0	0	0	DL
3338b	0	0	1	1	0	1	0	0	0	B
3364a	0	0	1	0	0	1	0	0	0	B
3364b	0	0	1	0	0	1	0	0	0	B
3373a	0	0	1	0	0	1	0	0	0	B
3373b	0	0	1	0	0	1	0	0	0	B
3384a	0	0	1	0	0	1	0	0	0	B
3384b	0	0	1	0	0	1	0	0	0	B
3398a	1	0	1	1	0	1	0	0	0	B
3459a	0	0	1	0	0	1	0	1	0	N
3485a	0	0	1	0	0	1	0	0	0	DL
3501a	0	0	1	0	0	1	0	0	0	B
3501b	0	0	1	0	0	1	0	0	0	B
3505a	1	0	1	0	0	1	0	0	0	B
3518a	1	0	1	1	0	1	0	0	1	DL
3536a	1	0	1	0	0	1	0	0	0	B
3536b	1	0	1	0	0	1	0	0	0	DL
3586a	1	0	1	0	0	1	0	0	0	B
3586b	1	0	1	0	0	1	0	0	0	DL
3598a	0	0	1	0	0	1	0	0	0	B
3625a	1	0	1	1	0	1	0	0	0	B
3625b	0	0	1	1	0	1	0	0	0	B
3626a	0	0	1	0	0	1	0	0	0	B
3626b	0	0	1	0	0	1	0	0	0	DL
3657a	0	0	1	0	0	1	0	0	0	B
3657b	0	0	1	0	0	1	0	0	0	B
3661a	1	0	1	0	0	1	0	0	0	B
3670a	1	0	1	0	0	1	0	0	0	B
3670b	1	0	1	0	0	1	0	0	0	DL
3680a	1	0	1	1	0	1	0	0	0	B
3680b	1	0	1	0	0	1	0	0	0	B
3711a	1	0	1	0	0	1	0	0	0	DL
3711b	1	0	1	0	0	1	0	0	0	DL
3721a	0	0	1	0	0	1	0	0	0	B
3721b	0	0	1	0	0	1	0	0	0	B
3733a	1	0	1	0	0	1	0	0	0	B
3747a	0	0	1	0	0	1	0	0	1	B
3790a	0	0	1	0	0	1	0	0	0	B
3790b	0	0	1	0	0	1	0	0	0	B
3812a	0	0	1	0	0	1	0	0	0	B
3812b	0	0	1	0	0	1	0	0	0	B
3855a	0	0	1	0	0	1	0	0	0	B
3861a	1	0	1	0	0	1	1	0	0	B
3862a	0	0	1	0	0	1	1	0	0	B
3897a	0	0	1	1	0	1	0	0	0	B
3897b	0	0	1	1	0	1	0	0	0	B
3909a	1	0	1	0	0	1	0	0	0	B
3910a	1	0	1	0	0	1	0	0	0	B
3922a	1	0	1	1	0	1	0	0	0	B
3922b	1	0	1	1	0	1	0	0	0	B
3941a	1	0	1	1	0	1	0	0	0	DL
3982a	1	0	1	0	0	1	0	0	0	S
3996a	1	0	1	0	0	0	1	0	0	B
4001a	0	0	1	0	0	1	0	0	0	B
4006a	0	0	1	0	0	1	0	0	0	B
4006b	0	0	1	0	0	1	0	0	0	B
4011a	0	0	1	0	0	1	0	0	0	B
4011b	0	0	1	0	0	1	0	0	0	B
4015a	0	0	1	0	0	1	0	1	0	B
4031a	1	0	1	1	0	1	0	0	0	DL
4054a	0	0	1	0	0	1	0	0	0	B
4060a	0	0	1	0	0	1	0	0	0	B
4066a	0	0	1	0	0	1	0	0	0	B
4067a	0	0	1	0	0	1	1	0	0	DL
4079a	0	0	1	0	0	1	0	0	0	B
4079b	0	0	1	0	0	1	0	0	0	B
4086a	0	0	1	1	0	1	0	0	0	B
4086b	0	0	1	1	0	1	0	0	0	B
4114a	0	0	1	1	0	1	0	0	0	DL
4114b	1	0	1	1	0	1	0	0	0	N
4135a	0	0	1	0	0	1	0	1	0	B
4140a	0	0	1	0	0	1	0	1	0	B
4155a	1	0	1	1	0	1	0	0	0	B
4155b	0	0	1	1	0	1	0	0	0	B
4157a	0	0	1	1	0	1	0	0	0	B
4157b	1	0	1	1	0	1	0	0	0	B
4164a	0	0	1	0	0	1	0	0	1	B
4164b	0	0	1	0	0	1	0	0	1	B
4187a	1	0	1	1	0	0	1	1	0	B
4187b	0	0	1	1	0	1	0	1	0	B
4191a	0	0	1	0	0	1	1	1	0	B
4196a	1	0	1	0	0	1	0	0	0	B
4288a	1	0	1	0	0	1	0	0	0	DL
4321a	0	0	1	1	0	1	0	0	0	B
4321b	0	0	1	1	0	1	0	0	0	B
4330a	0	0	1	1	0	1	0	0	0	B
4330b	0	0	1	1	0	1	0	0	0	B
4342a	0	0	1	0	0	1	0	0	0	DL
4360a	0	0	1	0	0	1	0	0	0	DL
4376a	0	0	1	1	0	1	0	0	0	B
4376b	1	0	1	1	0	1	0	0	0	N
4411a	0	0	1	0	0	1	1	0	0	B
4429a	0	0	1	0	0	1	0	0	1	B
4477a	1	0	1	0	0	0	1	0	0	B
4505a	1	0	1	0	0	1	0	0	0	DL
4638a	0	0	1	0	0	1	0	0	0	B
4650a	1	0	1	1	0	1	0	0	0	B
4650b	0	0	1	1	0	1	0	0	0	B
4661a	0	0	1	0	0	1	0	1	0	B
4707a	0	0	1	0	0	1	1	0	0	B
4734a	1	0	1	0	0	1	0	0	0	DL
4734b	1	0	1	0	0	1	0	0	0	DL
4755a	0	0	1	1	0	1	0	0	0	B
4767a	0	0	1	1	0	1	0	0	0	B
4767b	1	0	1	1	0	1	0	0	0	B
4776a	0	0	1	1	0	1	0	0	0	B
4776b	1	0	1	1	0	1	0	0	0	B
4803a	1	0	1	0	0	1	0	0	0	B
4803b	1	0	1	1	0	1	0	0	0	B
4814a	1	0	1	0	0	1	0	0	0	B
4816a	0	0	1	1	0	1	0	0	0	B
4816b	1	0	1	1	0	1	0	0	0	B
4823a	0	0	1	0	0	1	1	0	0	B
4831a	0	0	1	1	0	1	0	1	0	B
4831b	1	0	1	1	0	1	1	0	0	B
4843a	0	0	1	1	1	1	0	0	0	B
4843b	0	0	1	0	1	1	0	0	0	B
4851a	0	0	1	0	0	1	0	0	0	B
4851b	0	0	1	0	0	1	0	0	0	B
4852a	1	0	1	1	0	1	0	0	0	B
4852b	1	0	1	1	0	1	0	0	0	B
4866a	0	0	0	0	0	0	0	0	0	B
4891a	0	0	1	0	0	1	1	0	0	B
4916a	0	0	1	0	0	1	0	1	0	DL
4934a	0	0	1	0	0	1	0	0	0	DL
4963a	0	0	1	0	0	1	0	0	0	B
4963b	0	0	1	0	0	1	0	0	0	B
4966a	1	0	1	1	0	1	0	0	0	B
4966b	1	0	1	0	0	1	0	0	0	B
5003a	0	0	1	0	1	1	0	0	0	B
5030a	0	0	1	0	0	1	0	0	0	B
5030b	0	0	1	0	0	1	0	0	0	B
5047a	0	0	1	0	0	1	0	0	1	DL
5051a	0	0	1	1	1	1	0	0	0	B
5051b	0	0	1	1	1	1	0	0	0	B
5052a	1	0	1	0	0	1	0	0	0	B
5082a	1	0	1	1	0	0	0	0	1	B
5110a	0	0	1	0	0	1	1	0	0	DL
5110b	0	0	1	0	0	1	0	1	0	B
5113a	0	0	1	0	0	1	0	0	0	DL
5113b	0	0	1	0	0	1	0	0	0	DL
5119a	0	0	0	0	0	0	0	0	0	B
5148a	0	0	1	0	0	1	0	0	1	B
5148b	0	0	1	0	0	1	0	0	1	B
5203a	0	0	1	0	0	1	0	0	0	B
5203b	0	0	1	0	0	1	0	0	0	B
5206a	1	0	1	0	0	0	0	1	0	B
5310a	0	0	1	1	0	1	0	0	0	B
5310b	1	0	1	1	0	1	0	0	0	B
5349a	0	0	1	0	0	1	0	0	0	B
5352a	1	0	1	1	0	1	0	0	0	B
5352b	0	0	1	1	0	1	0	0	0	B
5374a	0	0	1	0	0	1	0	0	0	B
5374b	0	0	1	0	0	1	0	0	0	B
5454a	1	0	1	1	0	1	0	0	0	B
5454b	1	0	1	1	0	1	0	0	0	B
5461a	0	0	1	0	0	1	0	0	1	B
5461b	0	0	1	0	0	1	0	0	1	B
5498a	0	0	1	0	0	1	0	0	0	DL
5540a	1	0	1	0	0	1	0	0	0	B
5588a	0	0	1	0	0	1	0	0	0	B
5588b	0	0	1	0	0	1	0	0	0	B
5657a	0	0	1	0	0	1	0	0	0	B
5698a	0	0	1	0	0	1	0	1	0	DL
5706a	1	0	1	0	0	1	0	0	0	DL
5745a	0	0	1	0	0	1	0	1	0	DL
5747a	0	0	1	0	0	1	1	0	0	B
5799a	0	0	1	0	0	1	0	0	0	B
5799b	0	0	1	0	0	1	0	0	0	B
5806a	0	0	1	0	0	1	1	0	0	DL
5904a	0	0	1	0	0	1	1	0	0	B
5909a	0	0	1	0	0	0	1	1	0	B
5914a	0	0	1	0	0	1	0	0	0	B
5914b	0	0	1	0	0	1	0	0	0	B
5920a	0	0	0	0	0	0	0	0	0	B
5924a	1	0	1	1	0	1	0	0	0	B
5924b	1	0	1	1	0	1	0	0	0	B
5930a	0	0	1	1	0	1	1	0	0	B
5938a	0	0	1	0	0	1	0	1	0	B
5955a	1	0	1	0	0	1	0	0	0	DL
6001a	1	0	1	0	0	1	0	0	0	B
6005a	0	0	1	0	0	1	0	0	0	DL
6042a	0	0	1	0	0	1	0	0	0	B
6047a	1	0	1	0	0	1	0	0	0	B
6047b	0	0	1	0	0	1	0	0	0	B
6078a	0	0	1	0	0	1	0	0	0	B
6119a	1	0	1	0	0	1	0	0	0	B
6131a	0	0	1	0	0	1	0	0	0	B
6146a	0	0	1	1	0	1	0	0	0	DL
6146b	0	0	1	1	0	1	0	0	0	DL
6153a	0	0	1	0	0	1	0	0	1	B
6158a	0	0	1	0	0	0	1	1	0	B
6213a	0	0	1	0	0	1	0	0	1	B
6219a	1	0	1	0	0	1	0	0	0	B
6228a	1	0	1	0	0	1	1	1	0	B
6231a	1	0	1	0	0	1	0	0	0	B
6231b	1	0	1	0	0	1	0	0	0	DL
6280a	0	0	1	0	0	1	0	0	0	B
6280b	0	0	1	0	0	1	0	0	0	B
6287a	1	0	1	0	0	1	0	0	0	B
6315a	0	0	1	0	0	1	0	0	0	B
6330a	0	0	1	0	0	1	0	0	1	DL
6344a	0	0	1	0	0	1	0	0	0	S
6358a	0	0	1	1	0	1	0	0	0	B
6358b	0	0	1	1	0	1	0	0	0	B
6394a	1	0	1	0	0	1	0	0	0	B
6396a	1	0	1	0	0	1	0	0	0	DL
6450a	0	0	1	0	0	1	0	0	0	DL
6482a	0	0	1	1	0	1	0	0	0	B
6482b	0	0	1	1	0	1	0	0	0	DL
6544a	0	0	1	1	0	1	0	1	0	B
6590a	1	0	1	0	0	1	0	1	0	B
6592a	1	0	1	0	0	1	0	0	0	B
6598a	1	0	1	0	0	1	0	0	0	B
6625a	1	0	1	1	0	0	1	0	0	B
6634a	0	0	1	0	0	1	0	1	0	DL
6634b	0	0	1	0	0	1	1	1	0	DL
6649a	0	0	1	0	0	1	0	0	0	DL
6649b	0	0	1	0	0	1	0	0	0	DL
6673a	1	0	1	0	0	0	1	0	0	B
6705a	0	0	1	0	0	1	1	0	0	DL
6705b	0	0	1	0	0	1	0	1	0	B
6709a	0	0	1	0	0	1	1	1	0	B
6729a	0	0	1	0	0	1	0	1	0	B
6740a	0	0	1	1	0	1	0	0	0	B
6756a	0	0	1	0	0	1	0	0	0	B
6756b	0	0	1	0	0	1	0	0	0	B
6764a	1	0	1	0	0	1	0	0	0	DL
6784a	1	0	1	0	0	1	0	0	0	B
6784b	1	0	1	1	0	1	0	0	0	B
6849a	1	0	1	0	0	0	0	1	0	B
6866a	1	0	1	1	0	1	0	0	0	DL
6912a	1	0	1	0	0	1	1	0	0	B
6932a	0	0	1	0	0	0	1	0	0	DL
6955a	1	0	1	1	0	1	1	0	1	DL
6971a	1	0	1	0	0	1	0	0	0	B
6971b	1	0	1	1	0	1	0	0	0	B
7002a	0	0	1	1	0	1	1	0	0	B
7007a	0	0	1	0	0	1	0	0	1	S
7007b	0	0	1	0	0	1	0	0	1	S
7018a	0	0	1	0	0	1	0	0	0	B
7018b	0	0	1	0	0	1	0	0	0	B
7027a	0	0	1	1	0	1	0	0	0	B
7043a	0	0	1	0	0	1	1	1	0	B
7044a	1	0	1	0	0	1	0	1	0	B
7064a	0	0	1	0	0	1	0	0	0	B
7064b	0	0	1	0	0	1	0	0	0	B
7088a	0	0	1	0	0	1	1	0	0	B
7093a	0	0	1	0	0	1	0	0	0	B
7093b	0	0	1	0	0	1	0	0	0	B
7214a	1	0	1	1	0	1	0	0	0	B
7214b	0	0	1	1	0	1	0	0	0	B
7228a	1	0	1	0	0	0	1	0	0	DL
7311a	0	0	1	0	0	1	0	0	0	DL
7311b	0	0	1	0	0	1	0	0	0	B
7319a	1	0	1	0	0	1	0	0	0	B
7356a	0	0	1	0	0	1	1	0	0	B
7363a	0	0	1	0	0	1	1	1	0	B
7374a	0	0	1	0	0	1	0	1	0	B
7394a	1	0	1	0	0	1	0	0	0	B
7445a	0	0	1	0	0	1	0	0	0	DL
7445b	0	0	1	0	0	1	0	0	0	B
7448a	1	0	1	0	0	1	1	0	0	B
7464a	1	0	1	0	0	0	1	0	0	B
7466a	0	0	1	0	0	1	0	0	0	B
7466b	0	0	1	0	0	1	0	0	0	B
7471a	0	0	1	0	0	1	0	1	0	DL
7475a	0	0	1	0	0	1	0	1	0	B
7477a	1	0	1	0	0	1	0	0	0	B
7477b	1	0	1	0	0	1	0	0	0	B
7501a	0	0	1	1	0	1	0	1	0	B
7533a	0	0	1	0	0	1	1	1	0	B
7541a	1	0	1	0	0	1	0	0	0	N
7544a	1	0	1	0	0	0	0	1	0	B
7546a	0	0	1	0	0	1	0	0	0	DL
7546b	0	0	1	0	0	1	0	0	0	B
7548a	0	0	1	0	0	1	0	0	0	B
7548b	0	0	1	0	0	1	0	0	0	B
7582a	0	0	1	0	0	1	0	0	0	B
7590a	0	0	1	0	0	1	0	1	0	B
7649a	0	0	0	0	0	0	0	0	0	DL
7649b	0	0	1	1	0	1	0	0	0	B
7667a	1	0	1	1	0	1	0	0	0	B
7667b	1	0	1	1	0	1	0	0	0	B
7677a	0	0	1	0	0	1	0	0	0	B
7718a	1	0	1	1	0	1	0	0	0	B
7718b	0	0	1	1	0	1	0	0	0	B
7720a	1	0	1	1	0	0	0	1	0	DL
7726a	0	0	1	0	0	1	0	0	0	N
7734a	1	0	1	0	0	0	1	1	0	B
7743a	0	0	1	0	0	1	1	0	0	B
7772a	0	0	1	0	0	1	0	0	0	DL
7772b	0	0	1	0	0	1	0	0	0	DL
7795a	1	0	1	0	0	1	0	0	0	DL
7795b	1	0	1	0	0	1	0	0	0	DL
7820a	1	0	1	0	0	0	1	0	0	B
7877a	0	0	1	0	0	1	0	0	0	B
7889a	0	0	1	0	0	1	0	0	0	DL
7932a	1	0	1	0	0	0	1	0	0	B
7937a	0	0	1	0	0	1	0	0	0	DL
7937b	0	0	1	0	0	1	0	0	0	DL
7938a	0	0	1	0	0	1	1	0	0	B
7950a	1	0	1	0	0	0	0	0	1	B
7997a	1	0	1	0	0	1	0	0	0	DL
8057a	0	0	1	0	0	1	0	0	0	B
8057b	1	0	1	0	0	1	0	1	0	DL
8122a	1	0	1	0	0	1	0	0	0	B
8138a	0	0	1	0	0	1	1	0	0	DL
8141a	1	0	1	0	0	1	0	0	0	DL
8163a	0	0	1	0	0	1	0	0	0	DL
8163b	0	0	1	0	0	1	0	0	0	DL
8193a	1	0	1	1	0	1	0	0	0	B
8193b	1	0	1	1	0	1	0	0	0	B
8212a	1	0	1	0	0	1	1	1	0	B
8220a	0	0	1	0	0	1	0	0	0	B
8313a	0	0	1	0	0	1	1	0	0	B
8326a	1	0	1	0	0	1	0	0	0	B
8326b	1	0	1	1	0	1	0	0	0	B
8334a	0	0	1	0	0	1	0	1	0	B
8343a	0	0	1	0	0	1	0	1	0	B
8362a	0	0	1	0	0	1	0	0	0	B
8375a	0	0	1	0	0	0	0	1	0	B
8383a	1	0	1	0	0	1	0	1	0	B
8389a	0	0	1	0	0	1	0	0	1	B
8389b	0	0	1	0	0	1	0	0	1	B
8461a	0	0	1	0	0	1	0	0	0	B
8461b	1	0	1	0	0	1	0	0	0	B
8471a	0	0	1	0	0	1	0	0	0	B
8500a	0	0	1	0	0	1	1	1	0	B
8505a	0	0	1	0	0	1	0	0	0	B
8548a	0	0	1	0	0	1	1	1	0	B
8558a	1	0	1	0	0	1	0	0	0	B
8576a	0	0	1	0	0	1	0	1	1	DL
8632a	1	0	1	1	0	1	0	0	0	B
8632b	0	0	1	1	0	1	0	0	0	B
8633a	0	0	1	0	0	1	1	0	0	DL
8633b	0	0	1	0	0	1	1	1	0	DL
8658a	1	0	1	1	0	1	0	0	0	DL
8660a	0	0	1	0	0	1	1	0	0	DL
8678a	0	0	1	0	0	1	0	1	0	B
8678b	1	0	1	0	0	1	0	0	0	B
8700a	0	0	1	0	0	1	0	0	0	B
8714a	0	0	1	0	0	1	0	0	0	B
8806a	0	0	1	0	0	1	0	1	0	B
8832a	0	0	1	0	0	1	0	0	1	B
8832b	0	0	1	0	0	1	0	0	1	B
8841a	0	0	1	0	0	1	0	0	0	DL
8841b	0	0	1	0	0	1	0	0	0	DL
8855a	0	0	1	0	0	1	0	0	0	B
8855b	1	0	1	0	0	1	0	0	0	N
8938a	1	0	1	0	0	1	0	1	0	B
8963a	1	0	1	0	0	1	0	0	0	B
8986a	0	0	1	0	0	1	0	0	0	DL
9014a	0	0	1	0	0	1	1	0	0	DL
9014b	0	0	1	0	0	1	1	0	0	N
9029a	1	0	1	0	0	1	0	0	0	B
9036a	0	0	1	0	1	1	0	0	0	B
9056a	0	0	1	0	0	1	0	0	0	B
9069a	0	0	1	0	0	1	0	1	0	B
9093a	1	0	1	0	0	0	1	0	0	B
9102a	1	0	1	0	0	1	0	0	0	B
9125a	0	0	1	0	0	1	1	0	0	B
9132a	0	0	1	0	0	1	0	0	0	B
9132b	0	0	1	0	0	1	0	0	0	B
9136a	0	0	1	0	0	1	0	0	0	B
9169a	0	0	1	0	0	1	0	0	0	S
9188a	0	0	1	0	0	1	0	0	0	B
9198a	0	0	1	1	0	1	1	0	0	B
