pair_ID	GoldLabel	complexCtxs	contraCost	VER	ANTIVER	AVER	EQUALS	SUPER	SUB	DIS	GKR4NLILabel
988a	N	1	0	1	0	0	1	0	0	0	E
1039a	N	0	0	1	1	0	1	0	0	0	N
1102a	N	0	0	1	0	0	0	0	1	1	N
1170a	N	0	0	1	0	0	1	0	0	0	N
1177a	E	1	0	1	0	0	1	0	0	0	N
1178a	C	1	0	1	1	0	1	0	0	0	C
1178b	C	0	0	1	1	0	1	0	0	0	C
1190a	E	0	0	1	0	0	1	0	1	0	N
1190b	E	0	0	1	0	0	1	1	0	0	N
1192a	E	0	0	1	0	0	1	0	0	0	N
1232a	N	0	0	1	0	0	1	0	0	0	N
1236a	C	0	0	1	0	0	1	0	0	0	N
1236b	C	0	0	1	0	0	1	0	0	0	N
1237a	N	0	0	1	0	0	1	0	0	0	N
1241a	N	0	0	1	0	0	1	0	0	0	N
1266a	E	0	0	1	0	0	1	0	0	0	N
1266b	E	0	0	1	0	0	1	0	0	0	N
1302a	N	0	0	1	0	0	1	1	1	0	N
1333a	E	0	0	1	0	0	1	0	0	0	N
1333b	E	0	0	1	0	0	1	0	0	0	N
1390a	N	0	0	1	0	0	1	1	0	0	N
1396a	N	1	0	1	0	0	1	0	0	0	N
1400a	N	0	0	1	0	0	1	0	0	0	E
1410a	N	0	0	1	0	0	0	1	0	1	N
1412a	E	0	0	1	0	0	1	0	1	0	E
1443a	N	1	0	1	0	0	1	0	0	0	N
1469a	C	0	0	1	1	0	1	0	0	0	C
1469b	C	0	0	0	0	0	0	0	0	0	N
1470a	N	0	0	1	0	0	1	0	0	0	N
1487a	C	1	0	1	1	0	1	0	0	0	C
1487b	C	1	0	1	1	0	1	0	0	0	C
1493a	E	0	0	1	0	0	1	0	0	0	E
1495a	E	1	0	1	0	0	1	0	0	0	N
1495b	E	1	0	1	0	0	1	0	0	0	N
1503a	C	0	0	1	1	0	1	0	0	0	C
1503b	C	1	0	1	1	0	1	0	0	0	C
1506a	N	1	0	1	0	0	0	1	0	0	N
1525a	N	1	0	1	0	0	1	0	0	0	N
1584a	E	1	0	1	0	0	0	0	1	0	N
1608a	C	1	0	1	1	0	1	0	0	0	C
1608b	C	1	0	1	1	0	1	0	0	0	C
1628a	N	1	0	1	0	0	1	0	0	0	N
1676a	N	0	0	0	0	0	0	0	0	0	N
1690a	E	1	0	1	0	0	1	0	0	0	N
1690b	E	1	0	1	0	0	1	0	0	0	N
1703a	E	0	0	1	0	0	1	0	0	0	E
1703b	E	0	0	1	0	0	1	0	0	0	N
1711a	N	1	0	1	0	0	1	0	0	0	N
1754a	E	0	0	1	0	0	1	0	0	0	E
1807a	N	0	0	1	0	0	1	1	0	0	N
1811a	N	0	0	1	1	0	1	0	0	0	N
1839a	E	0	0	1	0	0	1	0	0	0	E
1847a	N	0	0	1	0	0	0	0	1	0	N
1861a	N	1	0	1	0	0	1	0	0	0	E
1881a	E	0	0	1	1	0	1	0	0	0	N
1964a	E	0	0	1	0	0	1	0	0	0	E
1964b	E	0	0	1	0	0	1	0	0	0	E
2001a	E	0	0	1	0	0	1	0	0	0	E
2001b	E	0	0	1	0	0	1	0	0	0	E
2019a	N	1	0	1	0	0	1	0	0	0	N
2058a	E	1	0	1	0	0	0	0	1	0	N
2089a	C	1	0	1	0	0	1	0	0	0	N
2089b	C	1	0	1	0	0	1	0	0	0	N
2096a	N	1	0	1	0	0	1	0	0	0	N
2130a	N	1	0	1	0	0	1	0	0	0	N
2157a	N	0	0	1	0	0	1	0	0	0	N
2166a	E	0	0	1	0	0	1	0	1	0	E
2166b	E	1	0	1	0	0	1	0	0	0	E
2221a	N	1	0	1	0	0	0	1	0	0	N
2221b	C	1	0	1	0	0	0	0	1	0	N
2229a	C	0	0	1	0	0	1	1	0	0	N
2231a	N	0	0	1	0	0	1	1	0	0	N
2231b	C	0	0	1	0	0	1	0	1	0	E
2284a	E	0	0	1	0	0	1	0	0	0	E
2286a	E	0	0	1	0	0	1	0	0	0	E
2362a	N	1	0	1	0	0	0	0	1	0	N
2364a	E	0	0	1	0	0	1	0	1	0	E
2366a	N	0	0	1	0	0	1	1	1	0	N
2385a	N	0	0	1	0	0	1	1	0	0	N
2392a	C	1	0	1	1	0	1	0	0	0	C
2392b	C	1	0	1	1	0	1	0	0	0	C
2402a	N	1	0	1	0	0	1	0	0	0	N
2404a	C	0	0	1	1	0	1	0	1	0	C
2404b	C	1	0	1	1	0	1	1	0	0	C
2405a	E	0	0	1	0	0	1	0	1	0	E
2410a	N	1	0	1	0	0	0	0	0	1	N
2430a	E	0	0	1	0	0	1	0	0	0	E
2476a	E	0	0	1	0	0	1	0	1	0	E
2476b	E	0	0	1	0	0	1	0	0	0	E
2485a	N	0	0	1	0	0	1	0	0	0	N
2525a	N	1	0	1	0	0	1	0	0	0	N
2527a	N	1	0	1	0	0	1	0	0	0	N
2535a	C	0	0	1	1	0	1	0	0	0	N
2544a	N	1	0	1	1	0	1	1	0	0	C
2557a	E	1	0	1	0	0	1	0	0	0	N
2557b	E	1	0	1	0	0	1	0	0	0	N
2566a	E	0	0	1	1	0	1	0	0	0	N
2662a	N	1	0	1	0	0	1	0	0	0	N
2668a	N	0	0	1	1	0	1	1	0	0	N
2678a	E	0	0	1	0	0	1	0	0	0	E
2679a	C	1	0	1	0	0	1	0	1	0	E
2687a	C	1	0	1	1	0	1	0	0	0	C
2687b	C	1	0	1	1	0	1	0	0	0	C
2704a	E	0	0	1	0	0	1	0	0	0	E
2704b	E	0	0	1	0	0	1	0	0	0	E
2712a	C	1	0	1	1	0	1	0	0	0	C
2712b	C	1	0	1	1	0	1	0	0	0	C
2720a	N	1	0	1	1	0	1	0	0	0	N
2720b	C	1	0	1	1	0	1	0	0	0	N
2721a	N	0	0	1	0	0	1	0	0	0	N
2722a	E	0	0	1	0	0	1	0	0	0	E
2722b	E	0	0	1	0	0	1	0	0	0	E
2726a	N	0	0	1	0	0	1	0	0	0	N
2738a	N	0	0	1	1	0	1	0	0	1	N
2772a	E	0	0	1	0	0	1	0	0	0	E
2772b	E	0	0	1	0	0	1	0	0	0	E
2791a	E	0	0	1	0	0	1	0	0	0	E
2791b	E	0	0	1	0	0	1	0	0	0	E
2795a	E	0	0	1	0	0	1	0	0	0	E
2812a	N	0	0	1	0	0	1	0	1	0	N
2822a	N	0	0	1	0	0	1	1	0	0	N
2829a	E	0	0	1	0	0	1	0	1	0	E
2842a	N	1	0	1	0	0	1	0	0	0	N
2886a	C	1	0	1	1	0	1	0	0	0	C
2886b	C	1	0	1	1	0	1	0	0	0	C
2898a	E	0	0	1	0	0	1	0	1	0	E
2911a	C	1	0	1	1	0	1	0	0	0	C
2911b	C	1	0	1	0	0	1	0	0	0	C
2932a	N	0	0	1	0	0	1	1	0	0	N
2936a	N	1	0	1	0	0	1	0	0	0	E
2967a	E	0	0	1	0	0	1	0	0	0	N
2967b	E	0	0	1	0	0	1	0	0	0	E
2968a	N	0	0	1	0	0	1	0	0	1	C
2968b	C	0	0	1	0	0	1	0	0	1	C
2996a	N	1	0	1	0	0	1	0	0	0	N
2996b	C	1	0	1	0	0	1	0	0	0	N
3002a	N	1	0	1	0	0	0	0	0	1	N
3036a	C	1	0	1	1	0	1	0	0	0	C
3036b	C	1	0	1	1	0	1	0	0	0	C
3061a	C	0	0	1	1	0	1	0	0	0	C
3061b	C	0	0	0	0	0	0	0	0	0	N
3122a	E	0	0	1	0	0	1	0	1	0	E
3123a	C	1	0	1	0	0	1	0	0	0	C
3123b	C	1	0	1	1	0	1	0	0	0	C
3174a	N	1	0	1	0	0	0	1	0	0	N
3181a	C	1	0	1	0	0	1	0	0	0	N
3222a	C	0	0	1	1	0	1	0	0	0	C
3222b	C	1	0	1	1	0	1	0	0	0	C
3250a	E	0	0	1	0	0	1	0	0	0	E
3250b	E	0	0	1	0	0	1	0	0	0	E
3275a	E	0	0	1	0	0	1	0	0	0	E
3275b	E	0	0	1	0	0	1	0	0	0	E
3291a	N	1	0	1	0	0	1	0	0	0	N
3292a	N	0	0	0	0	0	0	0	0	0	N
3322a	N	0	0	1	0	0	1	0	0	0	N
3338a	C	0	0	0	0	0	0	0	0	0	N
3338b	C	0	0	1	1	0	1	0	0	0	C
3364a	E	0	0	1	0	0	1	0	0	0	E
3364b	E	0	0	1	0	0	1	0	0	0	E
3373a	E	0	0	1	0	0	1	0	0	0	E
3373b	E	0	0	1	0	0	1	0	0	0	E
3384a	E	0	0	1	0	0	1	0	0	0	E
3384b	E	0	0	1	0	0	1	0	0	0	E
3398a	N	1	0	1	1	0	1	0	0	0	N
3459a	N	0	0	1	0	0	1	0	1	0	E
3485a	N	0	0	1	0	0	1	0	0	0	E
3501a	E	0	0	1	0	0	1	0	0	0	E
3501b	E	0	0	1	0	0	1	0	0	0	E
3505a	N	1	0	1	0	0	1	0	0	0	N
3518a	N	1	0	1	1	0	1	0	0	1	E
3536a	E	1	0	1	0	0	1	0	0	0	E
3536b	E	1	0	1	0	0	1	0	0	0	N
3586a	N	1	0	1	0	0	1	0	0	0	N
3586b	E	1	0	1	0	0	1	0	0	0	N
3598a	E	0	0	1	0	0	1	0	0	0	E
3625a	C	1	0	1	1	0	1	0	0	0	C
3625b	C	0	0	1	1	0	1	0	0	0	C
3626a	E	0	0	1	0	0	1	0	0	0	E
3626b	E	0	0	1	0	0	1	0	0	0	N
3657a	E	0	0	1	0	0	1	0	0	0	E
3657b	E	0	0	1	0	0	1	0	0	0	E
3661a	N	1	0	1	0	0	1	0	0	0	N
3670a	E	1	0	1	0	0	1	0	0	0	E
3670b	E	1	0	1	0	0	1	0	0	0	N
3680a	C	1	0	1	1	0	1	0	0	0	C
3680b	C	1	0	1	0	0	1	0	0	0	C
3711a	C	1	0	1	0	0	1	0	0	0	N
3711b	C	1	0	1	0	0	1	0	0	0	N
3721a	E	0	0	1	0	0	1	0	0	0	E
3721b	E	0	0	1	0	0	1	0	0	0	E
3733a	N	1	0	1	0	0	1	0	0	0	N
3747a	N	0	0	1	0	0	1	0	0	1	N
3790a	E	0	0	1	0	0	1	0	0	0	E
3790b	E	0	0	1	0	0	1	0	0	0	E
3812a	E	0	0	1	0	0	1	0	0	0	E
3812b	E	0	0	1	0	0	1	0	0	0	E
3855a	N	0	0	1	0	0	1	0	0	0	N
3861a	N	1	0	1	0	0	1	1	0	0	N
3862a	N	0	0	1	0	0	1	1	0	0	N
3897a	C	0	0	1	1	0	1	0	0	0	C
3897b	C	0	0	1	1	0	1	0	0	0	C
3909a	E	1	0	1	0	0	1	0	0	0	E
3910a	N	1	0	1	0	0	1	0	0	0	N
3922a	C	1	0	1	1	0	1	0	0	0	C
3922b	C	1	0	1	1	0	1	0	0	0	C
3941a	C	1	0	1	1	0	1	0	0	0	N
3982a	N	1	0	1	0	0	1	0	0	0	N
3996a	N	1	0	1	0	0	0	1	0	0	N
4001a	E	0	0	1	0	0	1	0	0	0	E
4006a	E	0	0	1	0	0	1	0	0	0	E
4006b	E	0	0	1	0	0	1	0	0	0	E
4011a	E	0	0	1	0	0	1	0	0	0	E
4011b	E	0	0	1	0	0	1	0	0	0	E
4015a	E	0	0	1	0	0	1	0	1	0	E
4031a	N	1	0	1	1	0	1	0	0	0	C
4054a	E	0	0	1	0	0	1	0	0	0	E
4060a	N	0	0	1	0	0	1	0	0	0	N
4066a	E	0	0	1	0	0	1	0	0	0	E
4067a	C	0	0	1	0	0	1	1	0	0	N
4079a	E	0	0	1	0	0	1	0	0	0	E
4079b	E	0	0	1	0	0	1	0	0	0	E
4086a	C	0	0	1	1	0	1	0	0	0	C
4086b	C	0	0	1	1	0	1	0	0	0	C
4114a	C	0	0	1	1	0	1	0	0	0	N
4114b	C	1	0	1	1	0	1	0	0	0	N
4135a	E	0	0	1	0	0	1	0	1	0	E
4140a	N	0	0	1	0	0	1	0	1	0	N
4155a	C	1	0	1	1	0	1	0	0	0	C
4155b	C	0	0	1	1	0	1	0	0	0	C
4157a	C	0	0	1	1	0	1	0	0	0	C
4157b	C	1	0	1	1	0	1	0	0	0	C
4164a	C	0	0	1	0	0	1	0	0	1	C
4164b	C	0	0	1	0	0	1	0	0	1	C
4187a	N	1	0	1	1	0	0	1	1	0	N
4187b	C	0	0	1	1	0	1	0	1	0	C
4191a	N	0	0	1	0	0	1	1	1	0	N
4196a	N	1	0	1	0	0	1	0	0	0	N
4288a	E	1	0	1	0	0	1	0	0	0	N
4321a	C	0	0	1	1	0	1	0	0	0	C
4321b	C	0	0	1	1	0	1	0	0	0	C
4330a	C	0	0	1	1	0	1	0	0	0	C
4330b	C	0	0	1	1	0	1	0	0	0	C
4342a	E	0	0	1	0	0	1	0	0	0	N
4360a	E	0	0	1	0	0	1	0	0	0	N
4376a	N	0	0	1	1	0	1	0	0	0	N
4376b	C	1	0	1	1	0	1	0	0	0	N
4411a	N	0	0	1	0	0	1	1	0	0	N
4429a	N	0	0	1	0	0	1	0	0	1	N
4477a	N	1	0	1	0	0	0	1	0	0	N
4505a	E	1	0	1	0	0	1	0	0	0	N
4638a	N	0	0	1	0	0	1	0	0	0	N
4650a	C	1	0	1	1	0	1	0	0	0	C
4650b	C	0	0	1	1	0	1	0	0	0	C
4661a	E	0	0	1	0	0	1	0	1	0	E
4707a	N	0	0	1	0	0	1	1	0	0	N
4734a	E	1	0	1	0	0	1	0	0	0	N
4734b	E	1	0	1	0	0	1	0	0	0	N
4755a	N	0	0	1	1	0	1	0	0	0	N
4767a	C	0	0	1	1	0	1	0	0	0	C
4767b	C	1	0	1	1	0	1	0	0	0	C
4776a	C	0	0	1	1	0	1	0	0	0	C
4776b	C	1	0	1	1	0	1	0	0	0	C
4803a	C	1	0	1	0	0	1	0	0	0	C
4803b	C	1	0	1	1	0	1	0	0	0	C
4814a	N	1	0	1	0	0	1	0	0	0	N
4816a	C	0	0	1	1	0	1	0	0	0	C
4816b	C	1	0	1	1	0	1	0	0	0	C
4823a	N	0	0	1	0	0	1	1	0	0	N
4831a	C	0	0	1	1	0	1	0	1	0	C
4831b	C	1	0	1	1	0	1	1	0	0	C
4843a	C	0	0	1	1	1	1	0	0	0	C
4843b	C	0	0	1	0	1	1	0	0	0	C
4851a	E	0	0	1	0	0	1	0	0	0	E
4851b	E	0	0	1	0	0	1	0	0	0	E
4852a	C	1	0	1	1	0	1	0	0	0	C
4852b	C	1	0	1	1	0	1	0	0	0	C
4866a	N	0	0	0	0	0	0	0	0	0	N
4891a	N	0	0	1	0	0	1	1	0	0	N
4916a	E	0	0	1	0	0	1	0	1	0	N
4934a	N	0	0	1	0	0	1	0	0	0	E
4963a	E	0	0	1	0	0	1	0	0	0	E
4963b	E	0	0	1	0	0	1	0	0	0	E
4966a	C	1	0	1	1	0	1	0	0	0	C
4966b	C	1	0	1	0	0	1	0	0	0	C
5003a	E	0	0	1	0	1	1	0	0	0	E
5030a	E	0	0	1	0	0	1	0	0	0	E
5030b	E	0	0	1	0	0	1	0	0	0	E
5047a	N	0	0	1	0	0	1	0	0	1	C
5051a	C	0	0	1	1	1	1	0	0	0	C
5051b	C	0	0	1	1	1	1	0	0	0	C
5052a	N	1	0	1	0	0	1	0	0	0	N
5082a	N	1	0	1	1	0	0	0	0	1	N
5110a	E	0	0	1	0	0	1	1	0	0	N
5110b	E	0	0	1	0	0	1	0	1	0	E
5113a	E	0	0	1	0	0	1	0	0	0	N
5113b	E	0	0	1	0	0	1	0	0	0	N
5119a	N	0	0	0	0	0	0	0	0	0	N
5148a	C	0	0	1	0	0	1	0	0	1	C
5148b	C	0	0	1	0	0	1	0	0	1	C
5203a	E	0	0	1	0	0	1	0	0	0	E
5203b	E	0	0	1	0	0	1	0	0	0	E
5206a	N	1	0	1	0	0	0	0	1	0	N
5310a	C	0	0	1	1	0	1	0	0	0	C
5310b	C	1	0	1	1	0	1	0	0	0	C
5349a	E	0	0	1	0	0	1	0	0	0	E
5352a	C	1	0	1	1	0	1	0	0	0	C
5352b	C	0	0	1	1	0	1	0	0	0	C
5374a	E	0	0	1	0	0	1	0	0	0	E
5374b	E	0	0	1	0	0	1	0	0	0	E
5454a	C	1	0	1	1	0	1	0	0	0	C
5454b	C	1	0	1	1	0	1	0	0	0	C
5461a	C	0	0	1	0	0	1	0	0	1	C
5461b	C	0	0	1	0	0	1	0	0	1	C
5498a	E	0	0	1	0	0	1	0	0	0	N
5540a	N	1	0	1	0	0	1	0	0	0	N
5588a	E	0	0	1	0	0	1	0	0	0	E
5588b	E	0	0	1	0	0	1	0	0	0	E
5657a	N	0	0	1	0	0	1	0	0	0	N
5698a	N	0	0	1	0	0	1	0	1	0	E
5706a	C	1	0	1	0	0	1	0	0	0	N
5745a	N	0	0	1	0	0	1	0	1	0	E
5747a	N	0	0	1	0	0	1	1	0	0	N
5799a	E	0	0	1	0	0	1	0	0	0	E
5799b	E	0	0	1	0	0	1	0	0	0	E
5806a	E	0	0	1	0	0	1	1	0	0	N
5904a	N	0	0	1	0	0	1	1	0	0	N
5909a	N	0	0	1	0	0	0	1	1	0	N
5914a	E	0	0	1	0	0	1	0	0	0	E
5914b	E	0	0	1	0	0	1	0	0	0	E
5920a	N	0	0	0	0	0	0	0	0	0	N
5924a	C	1	0	1	1	0	1	0	0	0	C
5924b	C	1	0	1	1	0	1	0	0	0	C
5930a	N	0	0	1	1	0	1	1	0	0	N
5938a	N	0	0	1	0	0	1	0	1	0	N
5955a	N	1	0	1	0	0	1	0	0	0	E
6001a	N	1	0	1	0	0	1	0	0	0	N
6005a	N	0	0	1	0	0	1	0	0	0	E
6042a	N	0	0	1	0	0	1	0	0	0	N
6047a	E	1	0	1	0	0	1	0	0	0	E
6047b	E	0	0	1	0	0	1	0	0	0	E
6078a	N	0	0	1	0	0	1	0	0	0	N
6119a	N	1	0	1	0	0	1	0	0	0	N
6131a	N	0	0	1	0	0	1	0	0	0	N
6146a	C	0	0	1	1	0	1	0	0	0	N
6146b	C	0	0	1	1	0	1	0	0	0	N
6153a	N	0	0	1	0	0	1	0	0	1	N
6158a	N	0	0	1	0	0	0	1	1	0	N
6213a	N	0	0	1	0	0	1	0	0	1	N
6219a	E	1	0	1	0	0	1	0	0	0	E
6228a	N	1	0	1	0	0	1	1	1	0	N
6231a	N	1	0	1	0	0	1	0	0	0	N
6231b	C	1	0	1	0	0	1	0	0	0	N
6280a	E	0	0	1	0	0	1	0	0	0	E
6280b	E	0	0	1	0	0	1	0	0	0	E
6287a	E	1	0	1	0	0	1	0	0	0	E
6315a	E	0	0	1	0	0	1	0	0	0	E
6330a	N	0	0	1	0	0	1	0	0	1	C
6344a	N	0	0	1	0	0	1	0	0	0	N
6358a	C	0	0	1	1	0	1	0	0	0	C
6358b	C	0	0	1	1	0	1	0	0	0	C
6394a	N	1	0	1	0	0	1	0	0	0	N
6396a	C	1	0	1	0	0	1	0	0	0	N
6450a	N	0	0	1	0	0	1	0	0	0	E
6482a	N	0	0	1	1	0	1	0	0	0	N
6482b	C	0	0	1	1	0	1	0	0	0	N
6544a	C	0	0	1	1	0	1	0	1	0	C
6590a	N	1	0	1	0	0	1	0	1	0	N
6592a	N	1	0	1	0	0	1	0	0	0	N
6598a	N	1	0	1	0	0	1	0	0	0	N
6625a	N	1	0	1	1	0	0	1	0	0	N
6634a	E	0	0	1	0	0	1	0	1	0	N
6634b	E	0	0	1	0	0	1	1	1	0	N
6649a	E	0	0	1	0	0	1	0	0	0	N
6649b	E	0	0	1	0	0	1	0	0	0	N
6673a	N	1	0	1	0	0	0	1	0	0	N
6705a	E	0	0	1	0	0	1	1	0	0	N
6705b	E	0	0	1	0	0	1	0	1	0	E
6709a	N	0	0	1	0	0	1	1	1	0	N
6729a	N	0	0	1	0	0	1	0	1	0	N
6740a	N	0	0	1	1	0	1	0	0	0	N
6756a	E	0	0	1	0	0	1	0	0	0	E
6756b	E	0	0	1	0	0	1	0	0	0	E
6764a	C	1	0	1	0	0	1	0	0	0	N
6784a	C	1	0	1	0	0	1	0	0	0	C
6784b	C	1	0	1	1	0	1	0	0	0	C
6849a	N	1	0	1	0	0	0	0	1	0	N
6866a	C	1	0	1	1	0	1	0	0	0	N
6912a	N	1	0	1	0	0	1	1	0	0	N
6932a	E	0	0	1	0	0	0	1	0	0	N
6955a	N	1	0	1	1	0	1	1	0	1	C
6971a	C	1	0	1	0	0	1	0	0	0	C
6971b	C	1	0	1	1	0	1	0	0	0	C
7002a	N	0	0	1	1	0	1	1	0	0	N
7007a	C	0	0	1	0	0	1	0	0	1	C
7007b	C	0	0	1	0	0	1	0	0	1	C
7018a	E	0	0	1	0	0	1	0	0	0	E
7018b	E	0	0	1	0	0	1	0	0	0	E
7027a	N	0	0	1	1	0	1	0	0	0	N
7043a	N	0	0	1	0	0	1	1	1	0	N
7044a	N	1	0	1	0	0	1	0	1	0	N
7064a	E	0	0	1	0	0	1	0	0	0	E
7064b	E	0	0	1	0	0	1	0	0	0	E
7088a	N	0	0	1	0	0	1	1	0	0	N
7093a	E	0	0	1	0	0	1	0	0	0	E
7093b	E	0	0	1	0	0	1	0	0	0	E
7214a	C	1	0	1	1	0	1	0	0	0	C
7214b	C	0	0	1	1	0	1	0	0	0	C
7228a	C	1	0	1	0	0	0	1	0	0	N
7311a	E	0	0	1	0	0	1	0	0	0	N
7311b	E	0	0	1	0	0	1	0	0	0	E
7319a	N	1	0	1	0	0	1	0	0	0	N
7356a	N	0	0	1	0	0	1	1	0	0	N
7363a	N	0	0	1	0	0	1	1	1	0	N
7374a	N	0	0	1	0	0	1	0	1	0	N
7394a	N	1	0	1	0	0	1	0	0	0	N
7445a	E	0	0	1	0	0	1	0	0	0	N
7445b	E	0	0	1	0	0	1	0	0	0	E
7448a	N	1	0	1	0	0	1	1	0	0	N
7464a	N	1	0	1	0	0	0	1	0	0	N
7466a	E	0	0	1	0	0	1	0	0	0	E
7466b	E	0	0	1	0	0	1	0	0	0	E
7471a	E	0	0	1	0	0	1	0	1	0	N
7475a	N	0	0	1	0	0	1	0	1	0	N
7477a	E	1	0	1	0	0	1	0	0	0	E
7477b	E	1	0	1	0	0	1	0	0	0	E
7501a	N	0	0	1	1	0	1	0	1	0	N
7533a	N	0	0	1	0	0	1	1	1	0	N
7541a	C	1	0	1	0	0	1	0	0	0	N
7544a	N	1	0	1	0	0	0	0	1	0	N
7546a	E	0	0	1	0	0	1	0	0	0	N
7546b	E	0	0	1	0	0	1	0	0	0	E
7548a	E	0	0	1	0	0	1	0	0	0	E
7548b	E	0	0	1	0	0	1	0	0	0	E
7582a	E	0	0	1	0	0	1	0	0	0	E
7590a	N	0	0	1	0	0	1	0	1	0	N
7649a	C	0	0	0	0	0	0	0	0	0	N
7649b	C	0	0	1	1	0	1	0	0	0	C
7667a	C	1	0	1	1	0	1	0	0	0	C
7667b	C	1	0	1	1	0	1	0	0	0	C
7677a	E	0	0	1	0	0	1	0	0	0	E
7718a	C	1	0	1	1	0	1	0	0	0	C
7718b	C	0	0	1	1	0	1	0	0	0	C
7720a	C	1	0	1	1	0	0	0	1	0	N
7726a	N	0	0	1	0	0	1	0	0	0	E
7734a	N	1	0	1	0	0	0	1	1	0	N
7743a	N	0	0	1	0	0	1	1	0	0	N
7772a	C	0	0	1	0	0	1	0	0	0	N
7772b	C	0	0	1	0	0	1	0	0	0	N
7795a	E	1	0	1	0	0	1	0	0	0	N
7795b	E	1	0	1	0	0	1	0	0	0	N
7820a	N	1	0	1	0	0	0	1	0	0	N
7877a	N	0	0	1	0	0	1	0	0	0	N
7889a	E	0	0	1	0	0	1	0	0	0	N
7932a	N	1	0	1	0	0	0	1	0	0	N
7937a	C	0	0	1	0	0	1	0	0	0	E
7937b	C	0	0	1	0	0	1	0	0	0	E
7938a	N	0	0	1	0	0	1	1	0	0	N
7950a	N	1	0	1	0	0	0	0	0	1	N
7997a	C	1	0	1	0	0	1	0	0	0	N
8057a	E	0	0	1	0	0	1	0	0	0	E
8057b	E	1	0	1	0	0	1	0	1	0	N
8122a	N	1	0	1	0	0	1	0	0	0	N
8138a	E	0	0	1	0	0	1	1	0	0	N
8141a	N	1	0	1	0	0	1	0	0	0	C
8163a	E	0	0	1	0	0	1	0	0	0	N
8163b	E	0	0	1	0	0	1	0	0	0	N
8193a	C	1	0	1	1	0	1	0	0	0	C
8193b	C	1	0	1	1	0	1	0	0	0	C
8212a	N	1	0	1	0	0	1	1	1	0	N
8220a	N	0	0	1	0	0	1	0	0	0	N
8313a	N	0	0	1	0	0	1	1	0	0	N
8326a	C	1	0	1	0	0	1	0	0	0	C
8326b	C	1	0	1	1	0	1	0	0	0	C
8334a	E	0	0	1	0	0	1	0	1	0	E
8343a	E	0	0	1	0	0	1	0	1	0	E
8362a	N	0	0	1	0	0	1	0	0	0	N
8375a	N	0	0	1	0	0	0	0	1	0	N
8383a	N	1	0	1	0	0	1	0	1	0	N
8389a	C	0	0	1	0	0	1	0	0	1	C
8389b	C	0	0	1	0	0	1	0	0	1	C
8461a	C	0	0	1	0	0	1	0	0	0	C
8461b	C	1	0	1	0	0	1	0	0	0	C
8471a	E	0	0	1	0	0	1	0	0	0	E
