pair_ID	sentence_AB	E_judgment
3036	The puppy is not playing with a plastic container. [SEP] The puppy is playing with a plastic container.	1
3061	A woman is driving a car and is talking to the man who is seated beside her. [SEP] There is no woman driving a car and talking to the man seated beside her.	1
3107	A man is flooring a sitting guitar player. [SEP] A man is sitting on the floor in a room and strumming a guitar.	2
3122	A woman is using a pencil for eyes and is applying eye liner to her eyelid. [SEP] A woman is applying cosmetics to her eyelid.	0
3123	There is no woman using an eye pencil and applying eye liner to her eyelid. [SEP] A woman is applying cosmetics to her eyelid.	1
3143	A monkey is kicking at a person's glove. [SEP] The monkey is practicing martial arts.	2
3174	A kid is throwing away an instrument. [SEP] A young boy is playing a wind instrument.	2
3181	A man is trekking in the woods. [SEP] The man is not hiking in the woods.	2
3222	There is no boy walking across a bridge. [SEP] A boy is walking across a bridge.	1
3250	A woman is placing two eggs into a pot of water. [SEP] A woman is putting two eggs into a pot of water.	0
3258	A man is playing the guitar. [SEP] Nobody is playing the guitar.	1
3275	A child is running in and out of the waves of the ocean. [SEP] A child is running in and out of the ocean waves.	0
3291	A woman is putting away carrots. [SEP] A woman is coating a pork chop.	2
3292	A woman is grating carrots. [SEP] A cook is coating a pork chop.	2
3322	The woman is chopping some bread and fried pork. [SEP] A woman is cooking a breaded pork chop.	2
3338	There is no man standing on a roof top and playing a violin. [SEP] A man is standing on a roof top and playing a violin.	1
3364	A woman is cleaning a shrimp. [SEP] The woman is cleaning a shrimp.	0
3373	A woman is riding a water scooter. [SEP] A woman is riding a scooter for water.	0
3384	A panda bear is eating some bamboo. [SEP] Some bamboo is being eaten by a panda bear.	0
3398	Someone is beating an egg. [SEP] The woman isn't stirring eggs in a bowl.	2
3420	A woman is deboning a fish. [SEP] A big fish is catching a man.	2
3433	A tray is being buttered by a person. [SEP] A person is buttering a tray.	0
3459	The man is chopping a tree trunk with an axe. [SEP] A man is chopping a log with an axe.	2
3485	The cat is looking out the window at the table on the perch. [SEP] The cat perched on the table is looking out the window.	2
3501	A dog is licking a baby. [SEP] The dog is licking the baby.	0
3505	A woman is putting away the garlic. [SEP] A woman is chopping up garlic.	2
3518	The man is not dancing. [SEP] A woman is dancing.	2
3536	Someone is cooking okra in a pan. [SEP] Okra is being cooked in a pan.	0
3586	A man is playing the drum. [SEP] A man is practicing the drum.	0
3598	One man is doing floor exercises. [SEP] A man is doing exercises.	0
3625	A woman is putting meat in a pan. [SEP] There is no woman putting meat in a pan.	1
3626	Someone is dropping the meat into a pan. [SEP] The meat is being dropped into a pan.	0
3657	A boy is filling a pitcher with water. [SEP] A pitcher is being filled with water by a boy.	0
3661	A woman is collecting the water from a tap in a mug. [SEP] A boy is filling a pitcher with water.	2
3670	It is raining on a walking man. [SEP] A man is walking in the rain.	0
3680	Racers are running down a track. [SEP] There are no racers running down a track.	1
3711	A toy train is striking a toy car. [SEP] A toy train is missing a toy car.	1
3721	The person is slicing onions. [SEP] Onions are being sliced by the person.	0
3733	Swimmers are racing in a lake. [SEP] Some racers are swimming in a lake.	0
3747	A talented man is playing the guitar. [SEP] A woman is playing a guitar.	2
3790	A person is scrubbing a zucchini. [SEP] The person is scrubbing a zucchini.	0
3812	A woman is slicing a pepper which is green. [SEP] A woman is slicing a green pepper.	0
3855	A man is stopping in the middle of a road. [SEP] A man is walking down a road.	2
3861	A man from the wilderness is on a walking path. [SEP] A man is walking down a road.	2
3862	The man is walking along a path through the wilderness. [SEP] A man is lazily walking down a road.	2
3880	A man is dancing on the ceiling of a room. [SEP] The man is dancing upside-down on the ceiling.	0
3897	There is no man exercising. [SEP] A man is exercising.	1
3909	The man is singing and playing the guitar. [SEP] The guitar is being played by a man.	0
3910	A man is packing the guitar. [SEP] The man is singing and playing the guitar.	2
3922	Boys are not dancing in front of some people. [SEP] Boys are dancing in front of some people.	1
3941	A boy is looking at a calendar. [SEP] There is no boy checking a calendar.	1
3982	A woman is peeling a potato. [SEP] A woman is refrigerating a potato.	2
3996	There is no man singing and playing a guitar. [SEP] A boy is playing a piano.	2
4001	A man is recklessly climbing a rope. [SEP] A man is climbing a rope.	0
4006	A man is climbing a rope. [SEP] The man is climbing up a rope.	0
4011	A man is climbing a rope. [SEP] A man is climbing up a rope.	0
4015	The lady is picking up the kangaroo. [SEP] The woman is picking up the kangaroo.	0
4031	A man is breaking tiles with his hands. [SEP] There is no man breaking wooden boards with his hand.	2
4054	A dog is running breathlessly on the road. [SEP] A dog is running on the road.	0
4060	A man is running on the road. [SEP] A dog is running breathlessly on the road.	2
4066	The man is hurling knives at a tree. [SEP] The man is throwing knives at a tree.	0
4067	The man is removing knives from a tree. [SEP] The man is throwing knives at a tree.	2
4079	One man is riding a horse. [SEP] A man is riding a horse.	0
4086	There is no man drawing a picture. [SEP] A man is drawing a picture.	1
4114	There is no man eating food. [SEP] A man is eating a pizza.	1
4135	A dog is bouncing on a trampoline. [SEP] A dog is jumping on a trampoline.	0
4140	Several boys are jumping on a trampoline. [SEP] A man is doing back flips on a trampoline.	2
4155	A man is playing a wooden flute. [SEP] There is no man playing a wooden flute.	1
4157	There is no man playing the piano. [SEP] A man is playing the piano.	1
4164	The man is erasing the drawing on the board. [SEP] The woman is erasing the drawing on the board.	2
4187	There is no dog playing with a toy. [SEP] A dog is eating a doll.	1
4191	A dog is eating a doll. [SEP] A dog is playing with a toy.	2
4196	A man is dancing. [SEP] A man is praying fervently.	2
4288	The woman is slicing cooked octopus. [SEP] A woman is chopping up an octopus.	0
4321	A man is drawing. [SEP] There is no man drawing.	1
4330	The man is drawing. [SEP] There is no man drawing.	1
4342	A man is eating a banana. [SEP] A man is eating a fruit.	0
4360	A man is cutting a note. [SEP] A man is cutting a paper.	0
4376	A man is playing a guitar. [SEP] There is no one playing a piano.	2
4411	Two men in a race are flipping the tires of a tractor. [SEP] Two men are competing in a tire rolling race.	2
4429	The men are talking. [SEP] Some old women are talking.	2
4477	A man is punching a soccer ball. [SEP] A man is mixing the content of a bowl.	2
4505	The doctors are healing a man. [SEP] The doctor is helping the patient.	0
4520	There is no man playing a guitar. [SEP] A man is playing a guitar.	1
4614	There is no man driving a car. [SEP] A man is driving a car.	1
4638	A keyboard is being played by a man. [SEP] A man is playing a harp.	2
4650	A man is cutting a thick rope with a sword. [SEP] There is no man cutting a rope with a sword.	1
4661	A woman is slicing a potato. [SEP] A woman is cutting a potato.	0
4707	A group of men is playing soccer on the beach. [SEP] A group of boys is playing soccer on the beach.	2
4734	A man is fitting a silencer to a pistol. [SEP] A man is applying a silencer to a gun.	0
4755	The girl is sitting on the couch and is crocheting. [SEP] There is no girl playing the violin on a beach.	2
4767	A man is cooking a snake. [SEP] There is no man cooking a snake.	1
4776	There is no boy playing guitar. [SEP] A boy is playing guitar.	1
4803	There is no monkey teasing a dog at the zoo. [SEP] A monkey is teasing a dog at the zoo.	1
4814	A monkey is pulling a dog's tail. [SEP] A monkey is teasing a dog at the zoo.	2
4816	There is no person cutting some ginger. [SEP] A person is cutting some ginger.	1
4823	A person is cutting some ginger. [SEP] A person is slicing an onion.	2
4831	A man is slicing a potato into pieces. [SEP] A man is not cutting a potato.	1
4843	A man is opening a box with a knife. [SEP] There is no man opening a box with a knife.	1
4851	Some instruments are being played by a band. [SEP] A band is playing some instruments.	0
4852	A band is not playing some instruments. [SEP] A band is playing some instruments.	1
4866	A person is dancing. [SEP] A woman is exercising.	2
4891	A man is doing pull-ups. [SEP] The man is doing exercises in a gym.	2
4916	A man is singing and playing a guitar. [SEP] A man is singing and playing a musical instrument.	0
4934	Recruits are talking to an officer. [SEP] An officer is talking to the recruits.	2
4963	Garlic is being chopped by a woman. [SEP] A woman is chopping garlic.	0
4966	A woman is slicing a fish. [SEP] There is no woman slicing a fish.	1
4983	A woman is riding a horse. [SEP] A horse is being ridden by a woman.	0
5003	A big cat is opening a plastic drawer with its paws and is jumping inside. [SEP] A cat is opening a drawer and jumping inside.	0
5030	The man is talking on the telephone. [SEP] The man is speaking on the telephone.	0
5047	A man is cutting onions. [SEP] A woman is cutting an onion.	2
5051	A man is opening a door. [SEP] There is no man opening a door.	1
5052	A door is being opened by a man. [SEP] A man is cutting an onion.	2
5082	A woman is playing the violin. [SEP] There is no man playing the piano.	2
5110	A chef is preparing some food. [SEP] A chef is preparing a meal.	0
5113	Two sumo ringers are fighting. [SEP] Two sumo wrestlers are fighting.	0
5119	Two sumo ringers are fighting. [SEP] A man is riding a water toy in the water.	2
5148	A man is buttering a piece of bread. [SEP] A woman is buttering a piece of bread.	2
5203	The woman is putting pasta into a dish. [SEP] Pasta is being put into a dish by a woman.	0
5206	A woman is pulling some sticky goo out of a bowl. [SEP] The woman is not putting pasta into a dish.	2
5310	There is no girl playing a flute. [SEP] A girl is playing a flute.	1
5349	A large flute is being played by a man. [SEP] A man is playing a flute.	0
5352	A man is playing a large flute. [SEP] There is no man playing a flute.	1
5374	An octopus is being sliced by a woman. [SEP] A woman is slicing an octopus.	0
5454	A man is playing a flute. [SEP] A man is not playing a flute.	1
5461	A woman is playing the flute. [SEP] A man is playing a flute.	2
5498	A woman is cutting a lemon. [SEP] A woman is cutting fruit.	0
5540	A group of people are dancing in a show. [SEP] A group of people are marching.	2
5588	A cupcake is being eaten by a girl. [SEP] A girl is eating a cupcake.	0
5657	A person is eating in a restaurant. [SEP] A person is making a bed.	2
5698	The cook is sprinkling cheese on the pizza. [SEP] The man is sprinkling cheese on the pizza.	2
5706	A man is reloading a shotgun. [SEP] A man is firing a shotgun.	2
5745	A tiger cub is playing with a ball. [SEP] A baby is playing with a doll.	2
5747	A baby is playing with a toy. [SEP] A baby tiger is playing with a ball.	2
5799	A person is peeling a potato. [SEP] A potato is being peeled by a person.	0
5806	A man is rowing a canoe. [SEP] A man is rowing a boat.	0
5904	A man and a woman are driving down the street in a jeep. [SEP] A man and a woman are driving down the road in an open-air vehicle.	2
5909	A woman is pouring ingredients into a bowl. [SEP] The chef is seasoning the oil.	2
5914	A horse is being ridden by a person. [SEP] A person is riding a horse.	0
5920	A horse is being ridden by a person. [SEP] A woman is slicing potatoes.	2
5924	The man is not doing exercises. [SEP] The man is doing exercises.	1
5930	The man is not doing exercises. [SEP] Two men are fighting.	2
5938	Vegetables are being put into a pot by a man. [SEP] Someone is pouring ingredients into a pot.	0
5955	A dog is leaving a ball in the dirt. [SEP] A dog is chasing a ball through dirt.	2
6001	There is no brown dog standing in the water. [SEP] A dog with golden fur is in the water.	2
6005	A young girl in a blue shirt is walking on the sidewalk and holding up a pink sign. [SEP] A young girl by a pink sign is holding up a blue shirt and is walking on the sidewalk.	2
6042	The small child is walking through the water and is being guided by another person. [SEP] A young child is splashing in the water.	2
6047	A man and a woman are in a room painted beige, wearing dark colored shirts and a monitor is in the background. [SEP] A man and a woman are in a beige room, wearing dark colored shirts and a monitor is in the background.	0
6078	A person wearing jeans is sitting happily on the top of a horse saddle. [SEP] A woman in jeans is sitting on the saddle of a horse.	2
6119	A brown and white dog is holding a baseball in its mouth. [SEP] A black and white dog is dropping a baseball from its mouth.	2
6131	A young boy wearing a red swimsuit is jumping into a blue kiddies pool. [SEP] A boy wearing red shorts is jumping into a paddling pool.	2
6146	Two people are standing in the ocean and watching the sunset. [SEP] Nobody is standing in the ocean and watching the sunset.	1
6153	A race car driver is standing up and pointing his hand at the sky. [SEP] A race car driver is sitting down and is motionless.	2
6158	A race car driver is standing up and is fiercely pointing his hand at the sky. [SEP] The person in the blue jacket is wearing a colorful helmet.	2
6203	A bicyclist is holding a bike over his head in a group of people. [SEP] A cyclist is being held over the heads of a group of people with the bike.	2
6213	A man is sitting on a boat in font of the sunset, near a flag. [SEP] A man is standing on a boat in front of the sunset near a flag.	2
6219	A man is standing on a boat in front of the sunset near a flag. [SEP] A man is on a boat in front of the sunset.	0
6228	People at a drag race are running away from the flames that are coming out of the cars. [SEP] The crowd is watching two racing cars that are leaving the starting line.	2
6231	Two dogs are playing together on the grass. [SEP] Two dogs are resting together in the grass.	2
6280	A dog, which is black, is running in the grass. [SEP] A black dog is running in the grass.	0
6287	A black dog is running in the grass and its tongue is hanging out. [SEP] A black dog is running in the grass.	0
6315	A yellow dog is running on white snow on a very sunny day. [SEP] A yellow dog is running on white snow on a sunny day.	0
6330	A girl is wearing jeans and a pink shirt and is running. [SEP] A little boy in a pink shirt is running under a tree in the desert.	2
6344	A white dog is wearing a Christmas reindeer headband and is playing with a brown dog in the grass. [SEP] The white reindeer wearing dog ears is near a brown reindeer.	2
6358	The woman in a red costume is leaning against a brick wall and playing an instrument. [SEP] The woman in a red costume is not leaning against a brick wall and is not playing an instrument.	1
6394	A waterfall is flowing into a shallow pool. [SEP] The people are walking on the road beside a beautiful waterfall.	2
6396	A dog is scattering a pack of white sheep on a dusty farm. [SEP] A dog is herding a pack of white sheep on a dusty farm.	2
6450	A little boy is wearing a yellow tank top and is laughing. [SEP] A laughing boy is in a yellow tank and is wearing a top.	2
6482	The person is not standing on white ice. [SEP] A person is standing in a vast field of glacial ice.	2
6544	The ice hockey goalkeeper is wearing a yellow jersey and is defending the goal. [SEP] There is no hockey player in a yellow jersey guarding the goal.	1
6568	A woman is wearing a blue helmet and is riding a bicycle in a parking lot. [SEP] A woman is parking a blue bicycle and is wearing lots of riding helmets.	2
6590	A young girl is standing on one leg. [SEP] A young female is dancing.	2
6592	A young girl is standing on one leg. [SEP] A young girl is dancing.	2
6598	A bee is clinging to a yellow flower. [SEP] There is no small bee landing on a bunch of yellow flowers.	2
6625	There is no white dog with beige spots running through a field. [SEP] A tan dog is running through the brush.	2
6634	A hurdle is being leapt by a horse that has a rider on its back. [SEP] A horse and its rider are leaping over a barrier.	0
6649	Two teenage girls are wearing fancy dresses at an event. [SEP] Two girls in their teens are wearing fancy dresses at an event.	0
6673	A classroom full of students is looking attentively in the same direction inside a bamboo structure. [SEP] A group of students in uniforms is listening attentively at the front of the class.	2
6705	A child, who is small, is outdoors climbing steps outdoors in an area full of grass. [SEP] A small child is outdoors climbing steps in a grassy area.	0
6709	A little child in a pink sweater is climbing a concrete staircase. [SEP] A small child is outdoors climbing steps in a grassy area.	2
6729	A kid in orange is playing outside with a snowball. [SEP] A snow ball is being made by a child.	2
6740	The people are not sitting on a bench in front of a restaurant. [SEP] Three people are sitting on a bench under some palm trees.	2
6756	A large brown dog and a small grey dog are standing on a rocky surface. [SEP] A big brown dog and a small grey dog are standing on a rocky surface.	0
6764	Three boys are resting on rocks along a river. [SEP] Three boys are walking on rocks along a river.	2
6784	There is no man dressed in black wearing an elaborate black mask. [SEP] A man dressed in black is wearing an elaborate black mask.	1
6849	Two children, who are small, are playing with a toy car in the street. [SEP] A father is pushing his daughter on a go-kart and another girl is watching.	2
6866	A golden dog is running through a field of tall grass. [SEP] There is no brown dog running through tall green grass.	2
6912	The woman wearing the blue and white uniform with a white and blue hat is keeping her mouth open and is near others who are dressed in the same fashion. [SEP] A woman is wearing a blue shirt with a white vest and a white cap and is talking and marching.	2
